X,Y,Z,dx,dy,dz,formation,group,type,ref_fault3,ref_fault4
454579.56,6782074,-5627.645,0.5062025,-0.28335822,0.8145349,fault3,fault3,fault,nan,nan
454338.4,6782244,-5376.1533,0.5544006,0.08128753,0.8282706,fault3,fault3,fault,nan,nan
454820.88,6782277,-5688.905,0.36691332,0.31315067,0.87596303,fault3,fault3,fault,nan,nan
454598.1,6782482,-5659.863,0.57297957,-0.05731725,0.81756294,fault3,fault3,fault,nan,nan
454803.4,6782382.5,-5835.7207,0.2778048,0.12677045,0.9522362,fault3,fault3,fault,nan,nan
454746.47,6782549.5,-5675.5166,0.4380298,-0.28271577,0.8533474,fault3,fault3,fault,nan,nan
454936.5,6782729.5,-5794.6543,0.59678274,-0.1417331,0.7897861,fault3,fault3,fault,nan,nan
454562.5,6783137,-5585.762,0.3098132,0.6887807,0.6554364,fault3,fault3,fault,nan,nan
454053.7,6783334,-5469.032,0.55832535,0.16985701,0.8120476,fault3,fault3,fault,nan,nan
454413.97,6783275,-5756.4873,0.6251611,0.4778636,0.6171061,fault3,fault3,fault,nan,nan
454360,6783361.5,-5692.652,0.7190608,0.28293133,0.63474524,fault3,fault3,fault,nan,nan
455010.28,6783235.5,-6236.743,0.5661114,0.6854087,0.457966,fault3,fault3,fault,nan,nan
455204.8,6783376,-6516.244,0.6090897,0.31376618,0.7283959,fault3,fault3,fault,nan,nan
454891.4,6783382.5,-6263.77,0.6953312,0.3483006,0.6286503,fault3,fault3,fault,nan,nan
454562.84,6783490,-6015.3594,0.74322456,-0.13561746,0.6551528,fault3,fault3,fault,nan,nan
454834.34,6783582,-6161.292,0.6344013,-0.2803394,0.72037816,fault3,fault3,fault,nan,nan
454699.7,6783786.5,-5931.901,0.6742407,-0.28700095,0.680463,fault3,fault3,fault,nan,nan
454863.75,6783682,-6107.508,0.65650964,-0.40249804,0.63795805,fault3,fault3,fault,nan,nan
452356.84,6782235.5,-6112.7705,0.6718531,0.22903445,0.7043838,fault4,fault4,fault,nan,nan
452574.47,6782159,-6264.5083,0.62380296,0.25717244,0.73805976,fault4,fault4,fault,nan,nan
452215.6,6782317,-5980.946,0.6730471,0.27008212,0.6885225,fault4,fault4,fault,nan,nan
452104.88,6782323,-5856.252,0.6349378,0.35699835,0.6851322,fault4,fault4,fault,nan,nan
